Height (mm);Total slice surface (mm²)
105.30;0.000
105.42;0.000
105.54;0.000
105.66;138.149
105.78;447.077
105.90;740.738
106.02;1045.846
106.14;1344.109
106.26;1659.911
106.38;1943.705
106.50;2249.886
106.62;2559.142
106.74;2841.842
106.86;3139.348
106.98;3451.660
107.10;3740.432
107.22;4025.230
107.34;4320.473
107.46;4626.169
107.58;4920.006
107.70;5199.420
107.82;5486.550
107.94;5781.402
108.06;6083.966
108.18;6368.851
108.30;6645.706
108.42;6928.456
108.54;7217.097
108.66;7511.627
108.78;7806.247
108.90;8076.817
109.02;8352.004
109.14;8631.798
109.26;8916.202
109.38;9205.214
109.50;9496.338
109.62;9762.512
109.74;10032.361
109.86;10305.893
109.98;10583.095
110.10;10863.979
110.22;11148.547
110.34;11425.449
110.46;11687.936
110.58;11953.399
110.70;12221.848
110.82;12493.276
110.94;12767.681
111.06;13045.071
111.18;13322.373
111.30;13578.738
111.42;13837.559
111.54;14098.817
111.66;14362.514
111.78;14628.657
111.90;14897.244
112.02;15168.272
112.14;15435.293
112.26;15686.191
112.38;15939.117
112.50;16194.064
112.62;16451.032
112.74;16710.021
112.86;16971.039
112.98;17234.075
113.10;17499.135
113.22;17746.518
113.34;17992.010
113.46;18239.185
113.58;18488.042
113.70;18738.597
113.82;18990.827
113.94;19244.749
114.06;19500.352
114.18;19757.643
114.30;19997.342
114.42;20235.852
114.54;20475.783
114.66;20717.130
114.78;20959.885
114.90;21204.053
115.02;21449.639
115.14;21696.641
115.26;21945.056
115.38;22186.920
115.50;22417.317
115.62;22648.917
115.74;22881.707
115.86;23115.681
115.98;23350.850
116.10;23587.206
116.22;23824.751
116.34;24063.484
116.46;24303.413
116.58;24537.219
116.70;24759.780
116.82;24983.348
116.94;25207.910
117.06;25433.486
117.18;25660.066
117.30;25887.653
117.42;26116.239
117.54;26345.826
117.66;26576.422
117.78;26808.024
117.90;27024.444
118.02;27239.133
118.14;27454.687
118.26;27671.081
118.38;27888.330
118.50;28106.418
118.62;28325.365
118.74;28545.151
118.86;28765.804
118.98;28987.288
119.10;29209.628
119.22;29417.122
119.34;29623.064
119.46;29829.725
119.58;30037.111
119.70;30245.207
119.82;30454.024
119.94;30663.558
120.06;30873.810
120.18;31084.780
120.30;31296.464
120.42;31508.879
120.54;31714.690
120.66;31911.189
120.78;32108.298
120.90;32305.999
121.02;32504.323
121.14;32703.240
121.26;32902.776
121.38;33102.920
121.50;33303.660
121.62;33505.010
121.74;33706.973
121.86;33909.539
121.98;34103.844
122.10;34290.944
122.22;34478.552
122.34;34666.665
122.46;34855.303
122.58;35044.444
122.70;35234.092
122.82;35424.263
122.94;35614.942
