Height (mm);Total slice surface (mmý)
164.700;6940.153
164.820;6912.112
164.940;6883.176
165.060;6853.261
165.180;6821.642
165.300;6786.134
165.420;6748.100
165.540;6705.656
165.660;6662.357
165.780;6617.357
165.900;6567.194
166.020;6526.387
166.140;6485.299
166.260;6443.844
166.380;6401.940
166.500;6359.452
166.620;6316.127
166.740;6272.815
166.860;6229.661
166.980;6186.824
167.100;6143.963
167.220;6100.418
167.340;6057.123
167.460;6819.539
167.580;6774.809
167.700;6726.733
167.820;6674.911
167.940;6621.467
168.060;6606.760
168.180;6565.009
168.300;6524.426
168.420;6484.649
168.540;6445.574
168.660;6407.166
168.780;6370.194
168.900;6330.573
169.020;6291.142
169.140;6252.541
169.260;6214.792
169.380;6177.881
169.500;6141.706
169.620;6106.157
169.740;6071.241
169.860;6036.959
169.980;6003.511
170.100;5971.001
170.220;5939.350
170.340;5908.656
170.460;5878.100
170.580;5845.021
170.700;5813.380
170.820;5782.995
170.940;5753.828
171.060;5726.375
171.180;5702.571
171.300;5682.663
171.420;5662.922
171.540;5643.491
171.660;5624.946
171.780;5608.311
171.900;5600.307
172.020;5572.840
172.140;5544.583
172.260;5515.332
172.380;5484.697
172.500;5451.569
172.620;5415.173
172.740;5371.089
172.860;5324.727
172.980;5281.571
173.100;5239.510
173.220;5197.812
173.340;5159.678
173.460;5121.974
173.580;5084.501
173.700;5047.448
173.820;5010.586
173.940;4973.981
174.060;4937.391
174.180;4901.013
174.300;4864.706
174.420;4828.607
174.540;4792.705
174.660;4756.591
174.780;4720.299
174.900;4683.470
175.020;4640.327
175.140;4595.134
175.260;4552.832
175.380;4511.000
175.500;4441.947
175.620;4401.927
175.740;4364.169
175.860;4335.069
175.980;4294.186
176.100;4244.742
176.220;4194.990
176.340;4144.930
176.460;4095.686
176.580;4046.930
176.700;3998.540
176.820;3950.606
176.940;3906.336
177.060;3867.408
177.180;3824.969
177.300;3782.858
177.420;3741.012
177.540;4407.296
177.660;4365.987
177.780;4069.784
177.900;4030.795
178.020;3991.652
178.140;3953.120
178.260;3915.275
178.380;3878.096
178.500;3841.657
178.620;3805.942
178.740;3770.933
178.860;3736.682
178.980;3700.624
179.100;3665.054
179.220;3634.674
179.340;3605.312
179.460;3577.213
179.580;3550.133
179.700;3519.833
179.820;3489.585
179.940;3460.054
180.060;3249.534
180.180;3200.202
180.300;3157.408
180.420;3116.939
180.540;1718.575
180.660;1674.945
180.780;1633.078
180.900;1595.454
181.020;1565.313
181.140;1536.127
181.260;1508.033
181.380;1480.677
181.500;1454.544
181.620;1429.219
181.740;1405.779
181.860;1383.241
181.980;1361.814
182.100;1341.368
182.220;2618.600
182.340;2601.082
182.460;2584.163
182.580;2575.085
182.700;2570.393
182.820;2571.872
182.940;2573.417
183.060;2574.961
183.180;2576.798
183.300;1472.445
183.420;1451.390
183.540;1472.944
183.660;1491.283
183.780;1505.728
183.900;1517.809
184.020;1528.046
184.140;1537.304
184.260;1545.561
184.380;1552.981
184.500;1559.998
184.620;1567.688
184.740;1574.407
184.860;1580.076
184.980;1584.332
185.100;1585.796
185.220;1297.165
185.340;1306.350
185.460;1314.866
185.580;1322.324
185.700;1311.622
185.820;1294.970
185.940;1278.892
186.060;1263.719
186.180;1249.286
186.300;1235.810
186.420;1223.897
186.540;1225.255
186.660;1238.895
186.780;1252.666
186.900;1266.427
187.020;1280.181
187.140;1295.071
187.260;1310.544
187.380;1325.918
187.500;1341.436
187.620;1357.082
187.740;1372.721
