Height (mm);Total slice surface (mm²)
142.98;12233.107
143.10;12263.434
143.22;12293.671
143.34;12328.876
143.46;12364.855
143.58;12403.376
143.70;12451.039
143.82;12497.088
143.94;12540.734
144.06;12584.402
144.18;12628.504
144.30;12673.004
144.42;12715.835
144.54;12761.448
144.66;12805.252
144.78;12849.220
144.90;12893.885
145.02;12766.399
145.14;12808.213
145.26;12853.011
145.38;12900.880
145.50;12947.346
145.62;12997.602
145.74;13044.106
145.86;13087.264
145.98;13130.998
146.10;13174.923
146.22;13219.277
146.34;13264.996
146.46;13310.774
146.58;13346.534
146.70;13378.656
146.82;13406.989
146.94;13439.261
147.06;13469.883
147.18;13492.394
147.30;13509.383
147.42;13526.927
147.54;13543.857
147.66;13559.842
147.78;13559.314
147.90;13567.094
148.02;13571.049
148.14;13571.261
148.26;13569.255
148.38;13566.360
148.50;13559.654
148.62;13551.758
148.74;13542.263
148.86;13531.829
148.98;13520.063
149.10;13503.940
149.22;13485.325
149.34;13468.200
149.46;13444.669
149.58;13413.757
149.70;13376.102
149.82;13320.956
149.94;13263.594
150.06;13466.740
150.18;13420.068
150.30;13381.070
150.42;13344.791
150.54;13312.188
150.66;13280.393
150.78;13245.223
150.90;13209.771
151.02;13172.674
151.14;13135.684
151.26;13091.186
151.38;13041.931
151.50;12989.860
151.62;12935.335
151.74;12860.006
151.86;12798.092
151.98;12710.114
152.10;12633.346
152.22;12559.691
152.34;12490.008
152.46;12425.769
152.58;12368.749
152.70;12298.830
152.82;12230.871
152.94;12155.051
153.06;12073.345
153.18;11981.737
153.30;11900.721
153.42;11818.408
153.54;11699.308
153.66;11596.471
153.78;11496.565
153.90;11392.904
154.02;11296.852
154.14;11200.276
154.26;11114.118
154.38;11044.334
154.50;10980.931
154.62;10922.300
154.74;10866.976
154.86;10804.834
154.98;10743.305
155.10;10684.589
155.22;10617.658
155.34;10553.776
155.46;10487.941
155.58;10427.035
155.70;10380.163
155.82;10324.018
155.94;10253.983
156.06;10215.017
156.18;10149.622
156.30;10083.041
156.42;10009.298
156.54;9928.922
156.66;9862.082
156.78;9798.401
156.90;9745.093
157.02;9681.369
157.14;9618.725
157.26;9558.397
157.38;9506.831
157.50;9454.979
157.62;9402.292
157.74;9350.727
157.86;9302.346
157.98;9251.576
158.10;9192.569
158.22;9130.110
158.34;9067.903
158.46;9004.284
158.58;8929.497
158.70;8853.062
158.82;8777.242
158.94;8702.871
159.06;8630.602
159.18;8561.178
159.30;8487.197
159.42;8405.912
159.54;8321.064
159.66;8222.976
159.78;8139.210
159.90;8066.562
160.02;7994.755
160.14;7918.120
160.26;7841.085
160.38;7763.561
160.50;7684.026
160.62;7605.571
160.74;7533.221
160.86;7465.914
160.98;7407.912
161.10;7354.659
161.22;7302.754
161.34;7252.198
161.46;7202.369
161.58;7151.981
161.70;7103.006
161.82;7056.382
161.94;7020.879
162.06;6984.864
162.18;6952.645
162.30;6924.118
162.42;6897.882
162.54;6873.596
162.66;6851.234
162.78;6829.800
162.90;6810.257
163.02;6791.125
163.14;6772.038
163.26;6752.534
163.38;6731.960
163.50;6709.427
163.62;6681.538
163.74;6653.072
163.86;6643.618
163.98;6631.772
164.10;6619.046
164.22;6605.751
164.34;6591.127
164.46;6575.427
164.58;6558.645
164.70;6540.710
164.82;6519.095
164.94;6490.691
165.06;6461.729
165.18;6432.204
165.30;6401.669
165.42;6369.882
165.54;6336.513
165.66;6301.246
165.78;6262.784
165.90;6217.796
166.02;6181.699
166.14;6151.358
166.26;6120.967
166.38;6090.519
166.50;6060.009
166.62;6029.253
166.74;5996.836
166.86;5962.104
166.98;5926.536
167.10;5889.116
167.22;5851.837
167.34;5814.707
167.46;5777.721
167.58;5740.996
167.70;5702.304
167.82;5660.522
167.94;5617.825
168.06;5587.056
168.18;5557.337
168.30;5527.928
168.42;5498.849
168.54;5473.283
168.66;5451.730
168.78;5434.253
168.90;5416.339
169.02;5398.357
169.14;5380.355
169.26;5362.285
169.38;5344.097
169.50;5325.698
169.62;5307.106
169.74;5288.340
169.86;5269.260
169.98;5249.904
170.10;5230.271
170.22;5210.033
170.34;5189.272
170.46;5170.937
170.58;5148.031
170.70;5124.241
170.82;5099.415
170.94;5073.044
171.06;5045.306
171.18;5017.371
171.30;4989.432
171.42;4961.706
171.54;4934.327
171.66;4907.941
171.78;4884.043
171.90;4869.551
172.02;4835.814
172.14;4801.641
172.26;4767.039
172.38;4732.007
172.50;4696.094
172.62;4659.256
172.74;4621.751
172.86;4583.576
172.98;4539.388
173.10;4491.854
173.22;4444.411
173.34;4396.447
173.46;4346.083
173.58;4295.885
173.70;4245.976
173.82;4196.132
173.94;4146.515
174.06;4096.809
174.18;4047.016
174.30;3996.897
174.42;3946.860
174.54;3897.086
174.66;3847.553
174.78;3802.731
174.90;3758.480
175.02;3714.566
175.14;3671.145
175.26;3626.523
175.38;3573.892
175.50;3519.156
175.62;3465.947
175.74;3415.503
175.86;3380.410
175.98;3337.157
176.10;3286.460
176.22;3232.766
176.34;3175.934
176.46;3116.743
176.58;3057.467
176.70;2999.359
176.82;2942.861
176.94;2889.779
177.06;2837.240
177.18;2785.236
177.30;2733.741
177.42;2682.720
177.54;2632.231
177.66;2582.291
177.78;2277.965
177.90;2239.040
178.02;2201.295
178.14;2163.890
178.26;2126.848
178.38;2090.112
178.50;2053.626
178.62;2017.177
178.74;1980.378
178.86;1943.273
178.98;1903.471
179.10;1858.420
179.22;1817.543
179.34;1778.229
179.46;1739.563
179.58;1701.564
179.70;1663.407
179.82;1620.467
179.94;1578.018
180.06;1536.140
180.18;1495.510
180.30;1455.492
180.42;1415.792
180.54;1376.387
180.66;1337.277
180.78;1298.476
180.90;1262.449
181.02;1226.180
181.14;1189.748
181.26;1152.863
181.38;1103.041
181.50;1050.188
181.62;1000.440
181.74;954.256
181.86;911.352
181.98;869.282
182.10;828.027
182.22;788.256
182.34;750.035
182.46;713.050
182.58;684.644
182.70;674.096
182.82;663.571
182.94;652.862
183.06;642.651
183.18;637.896
183.30;632.905
183.42;627.750
183.54;622.363
183.66;616.668
183.78;610.751
183.90;604.409
184.02;597.685
184.14;590.442
184.26;582.324
184.38;563.743
184.50;544.315
184.62;524.743
184.74;504.918
184.86;484.462
184.98;463.132
185.10;439.657
185.22;126.715
185.34;112.238
185.46;97.996
185.58;84.020
185.70;70.313
185.82;56.917
185.94;43.849
186.06;31.169
186.18;18.934
186.30;7.289
186.42;0.000
186.54;0.000
186.66;0.000
186.78;0.000
186.90;0.000
187.02;0.000
187.14;0.000
187.26;0.000
187.38;0.000
187.50;0.000
187.62;0.000
187.74;0.000
187.86;0.000
187.98;0.000
188.10;0.000
188.22;0.000
188.34;0.000
188.46;0.000
188.58;0.000
188.70;0.000
188.82;0.000
188.94;0.000
189.06;0.000
189.18;0.000
189.30;0.000
189.42;0.000
189.54;0.000
189.66;0.000
189.78;0.000
189.90;0.000
190.02;0.000
190.14;0.000
190.26;0.000
190.38;0.000
190.50;0.000
190.62;0.000
190.74;0.000
190.86;0.000
190.98;0.000
191.10;0.000
191.22;0.000
191.34;0.000
191.46;0.000
191.58;0.000
191.70;0.000
191.82;0.000
191.94;0.000
192.06;0.000
192.18;0.000
192.30;0.000
192.42;0.000
192.54;0.000
